Sample Name,Filter Efficiency,Cross Section nb,Events Generated,Source,Nick Name,Tags
mc15_13TeV.304796.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS55_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,7.09E-27,381000,AMI,125pi55lt5m,signal
mc15_13TeV.304801.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH125_mS55_lt9m.merge.AOD.e4804_s2726_r7146_r6282,1,7.09E-27,188000,AMI,125pi55lt9m,signal
mc15_13TeV.304806.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS50_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,1.99E-31,377000,AMI,200pi50lt5mW,signal+train
mc15_13TeV.304809.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS50_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,1.99E-31,189000,AMI,200pi50lt9mW,signal+train
mc15_13TeV.304810.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH400_mS50_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,4.73E-38,387000,AMI,400pi50lt5mW,signal+train
mc15_13TeV.304811.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH400_mS100_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,7.12E-40,387000,AMI,400pi100lt5mW,signal+train
mc15_13TeV.304814.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH600_mS50_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,2.91E-48,394000,AMI,600pi50lt5mW,signal+train
mc15_13TeV.304816.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH600_mS50_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,2.91E-48,180000,AMI,600pi50lt9mW,signal+train
mc15_13TeV.304815.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH600_mS150_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,5.22E-51,367000,AMI,600pi150lt5mW,signal+train
mc15_13TeV.304818.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS50_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,1.70E-60,390000,AMI,1000pi50lt5mW,signal+train
mc15_13TeV.304821.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS50_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,1.70E-60,187000,AMI,1000pi50lt9mW,signal+train
mc15_13TeV.304822.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS150_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,2.41E-63,189000,AMI,1000pi150lt9mW,signal+train
mc15_13TeV.304819.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS150_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,2.41E-63,222000,AMI,1000pi150lt5mW,signal+train
mc15_13TeV.304823.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS400_lt9m.merge.AOD.e4754_s2698_r7146_r6282,1,2.66E-65,192000,AMI,1000pi400lt9mW,signal+train
mc15_13TeV.304820.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS400_lt5m.merge.AOD.e4754_s2698_r7146_r6282,1,2.66E-65,385000,AMI,1000pi400lt5mW,signal+train
mc15_13TeV.304820.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS400_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,2.66E-65,392000,AMI,1000pi400lt5m,signal
mc15_13TeV.304818.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH1000_mS50_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,1.70E-60,386000,AMI,1000pi50lt5m,signal
mc15_13TeV.304814.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH600_mS50_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,2.91E-48,387000,AMI,600pi50lt5m,signal
mc15_13TeV.304806.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS50_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,1.99E-31,391000,AMI,200pi50lt5m,signal
mc15_13TeV.304810.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH400_mS50_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,4.73E-38,393000,AMI,400pi50lt5m,signal
mc15_13TeV.304815.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH600_mS150_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,5.22E-51,392000,AMI,600pi150lt5m,signal
mc15_13TeV.304811.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH400_mS100_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,7.12E-40,392000,AMI,400pi100lt5m,signal
mc15_13TeV.304805.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS25_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,1.46E-10,386000,AMI,200pi25lt5m,signal
mc15_13TeV.304804.MadGraphPythia8EvtGen_A14NNPDF23LO_HSS_LLP_mH200_mS8_lt5m.merge.AOD.e5102_s2698_r7146_r6282,1,-1,388000,AMI,200pi8lt5m,signal
mc15_13TeV.304903.MadGraphPythia8EvtGen_A14NNPDF23LO_StealthSUSY_mG250.merge.AOD.e4811_s2698_r7146_r6282,1,8.12E-17,396000,AMI,StealthG250,
mc15_13TeV.304904.MadGraphPythia8EvtGen_A14NNPDF23LO_StealthSUSY_mG500.merge.AOD.e4811_s2698_r7146_r6282,1,-1,391000,AMI,StealthG500,
mc15_13TeV.304905.MadGraphPythia8EvtGen_A14NNPDF23LO_StealthSUSY_mG800.merge.AOD.e4811_s2698_r7146_r6282,1,1.97E-18,389000,AMI,StealthG800,
mc15_13TeV.304906.MadGraphPythia8EvtGen_A14NNPDF23LO_StealthSUSY_mG1200.merge.AOD.e4811_s2698_r7146_r6282,1,2.23E-19,396000,AMI,StealthG1200,
mc15_13TeV.304907.MadGraphPythia8EvtGen_A14NNPDF23LO_StealthSUSY_mG1500.merge.AOD.e4811_s2698_r7146_r6282,1,-1,630000,AMI,StealthG1500,
mc15_13TeV.304908.MadGraphPythia8EvtGen_A14NNPDF23LO_StealthSUSY_mG2000.merge.AOD.e4811_s2698_r7146_r6282,1,4.03E-21,390000,AMI,StealthG2000,
